Sample	Dir	Specie	Cluster
SAMN06034714	GCF_001907675.1	M11	Mycobacterium
SAMN04634233	GCF_001667775.1	E1747	Mycobacterium
SAMN04634252	GCF_001672685.1	E2462	Mycobacterium
SAMN13352280	GCF_009741445.1	avium	Mycobacterium
SAMN06841017	GCF_002291465.1	avium	Mycobacterium
SAMN02603186	GCF_000277125.1	intracellulare	Mycobacterium
SAMN02603187	GCF_000418535.1	intracellulare	Mycobacterium
SAMN06111444	GCF_001901205.1	intracellulare	Mycobacterium
SAMD00153223	GCF_010723675.1	timonense	Mycobacterium
SAMN06064246	GCF_002086345.1	timonense	Mycobacterium
SAMN16988985	GCF_020217805.1	WUMAC-025	Mycobacterium
SAMN04696135	GCF_001667315.1	SCH5224772	Mycobacterium
SAMN04634158	GCF_001672975.1	1465703.0	Mycobacterium
SAMN06064245	GCF_002086335.1	mantenii	Mycobacterium
SAMN04634225	GCF_001667995.1	mantenii	Mycobacterium
SAMN04634184	GCF_001673615.1	1245499.0	Mycobacterium
SAMN09476220	GCF_003284975.1	1245499.0	Mycobacterium
SAMN09476219	GCF_003284935.1	GF28	Mycobacterium
SAMN06064229	GCF_002086125.1	arosiense	Mycobacterium
SAMN04696143	GCF_001665875.1	SCH5390672	Mycobacterium
SAMN06760893	GCF_002105755.1	colombiense	Mycobacterium
SAMEA59602168	GCF_900161855.1	colombiense	Mycobacterium
SAMD00250051	GCF_019668465.1	senriense	Mycobacterium
SAMN04634277	GCF_001954115.1	IS-576	Mycobacterium
SAMN04634191	GCF_001673505.1	IS-576	Mycobacterium
SAMN04634223	GCF_001667905.1	IS-576	Mycobacterium
SAMN04691980	GCF_001665835.1	SCH5396731	Mycobacterium
SAMN06651660	GCF_002104765.1	vulneris	Mycobacterium
SAMN04634246	GCF_001672755.1	E1334	Mycobacterium
SAMN04691956	GCF_001667145.1	SCH5477799	Mycobacterium
SAMN04634224	GCF_001667925.1	E2479	Mycobacterium
SAMN31248620	GCF_035617725.1	94-17	Mycobacterium
SAMN02598516	GCF_000092825.1	Segniliparus rotundus	Mycobacteriales
SAMN02603151	GCF_000214175.1	Hoyosella subflava	Mycobacteriales
SAMN23376436	GCF_021044705.1	Nocardia huaxiensis	Mycobacteriales
SAMN05560454	GCF_001767395.1	Rhodococcus sp. WMMA185	Mycobacteriales
SAMN07126182	GCF_003130705.1	Rhodococcus oxybenzonivorans	Mycobacteriales
SAMN26492386	GCF_022985635.2	Rhodococcus opacus	Mycobacteriales
SAMN12234611	GCF_007558985.1	Rhodococcus sp. WB9	Mycobacteriales
SAMN13510402	GCF_016772255.1	Rhodococcus sp. 21391	Mycobacteriales
SAMN12617337	GCF_019856255.1	Rhodococcus opacus	Mycobacteriales
SAMN02604146	GCF_000014565.1	Rhodococcus jostii	Mycobacteriales
SAMN32034740	GCF_026810085.1	Rhodococcus sp. JS3073	Mycobacteriales
SAMN10761912	GCF_004328705.1	Rhodococcus sp. ABRD24	Mycobacteriales
SAMN11370749	GCF_004795915.1	Rhodococcus sp. PAMC28707	Mycobacteriales
SAMN31373510	GCF_026153295.1	Rhodococcus sp. 75	Mycobacteriales
SAMN10651094	GCF_004006015.1	Rhodococcus sp. X156	Mycobacteriales
SAMN10180271	GCF_003641205.1	Rhodococcus sp. P1Y	Mycobacteriales
SAMN27409696	GCF_023078355.1	Gordonia hongkongensis	Mycobacteriales
SAMN13680426	GCF_009856645.1	Gordonia sp. JH63	Mycobacteriales
SAMN21584138	GCF_020520305.1	Gordonia sp. WA4-43	Mycobacteriales
SAMN05417667	GCF_001698225.1	Gordonia terrae	Mycobacteriales
SAMN27776997	GCF_023238525.1	Gordonia terrae	Mycobacteriales
SAMN26527893	GCF_022591595.1	Gordonia alkanivorans	Mycobacteriales
SAMN13326465	GCF_009720185.1	Gordonia sp. 135	Mycobacteriales
SAMN07356858	GCF_003568625.1	Gordonia rubripertincta	Mycobacteriales
SAMN10160079	GCF_003855095.1	Gordonia insulae	Mycobacteriales
SAMN18477556	GCF_017654315.1	Gordonia polyisoprenivorans	Mycobacteriales
SAMN22365129	GCF_020735545.1	Gordonia otitidis	Mycobacteriales
SAMN08634400	GCF_002993285.1	Gordonia iterans	Mycobacteriales
SAMN17844877	GCF_016919385.1	Gordonia sp. PDNC005	Mycobacteriales
SAMN12318967	GCF_007559005.1	Gordonia zhaorongruii	Mycobacteriales
SAMN03776117	GCF_001305675.1	Gordonia phthalatica	Mycobacteriales
SAMN04880516	GCF_003096095.1	Dietzia psychralcaliphila	Mycobacteriales
SAMN29261762	GCF_024125715.1	Dietzia kunjamensis	Mycobacteriales
SAMN25598616	GCF_024732245.1	Dietzia sp. B32	Mycobacteriales
SAMN04880518	GCF_003096075.1	Dietzia lutea	Mycobacteriales
SAMN04219460	GCF_001659785.1	Dietzia timorensis	Mycobacteriales
SAMEA5065507	GCF_900610365.1	Lawsonella clevelandensis	Mycobacteriales
SAMN02943398	GCF_001293125.1	Lawsonella clevelandensis	Mycobacteriales
SAMN03943545	GCF_001281505.1	Lawsonella clevelandensis	Mycobacteriales
SAMEA37377418	GCF_900637825.1	Corynebacterium segmentosum	Mycobacteriales
SAMN13404507	GCF_023520795.1	Corynebacterium accolens	Mycobacteriales
SAMN16357337	GCF_016889465.1	Corynebacterium macginleyi	Mycobacteriales
SAMN16357161	GCF_016126915.1	Corynebacterium minutissimum	Mycobacteriales
SAMN03092874	GCF_000766885.2	Corynebacterium camporealensis	Mycobacteriales
SAMN11357123	GCF_004795735.1	Corynebacterium endometrii	Mycobacteriales
SAMN02996497	GCF_001941465.1	Corynebacterium flavescens	Mycobacteriales
SAMN15954653	GCA_014490595.1	Corynebacterium wankanglinii	Mycobacteriales
SAMN02953970	GCF_000747315.1	Corynebacterium ureicelerivorans	Mycobacteriales
SAMN15951546	GCF_014490555.1	Corynebacterium lujinxingii	Mycobacteriales
SAMN21218848	GCF_020097655.1	Corynebacterium coyleae	Mycobacteriales
SAMN17304831	GCA_019443945.1	Corynebacterium aquatimens	Mycobacteriales
SAMN04488539	GCF_900105305.1	Corynebacterium timonense	Mycobacteriales
SAMN04488535	GCF_900103625.1	Corynebacterium mycetoides	Mycobacteriales
SAMN03854643	GCF_002287505.1	Corynebacterium glaucum	Mycobacteriales
SAMN14086271	GCF_011038645.2	Corynebacterium qintianiae	Mycobacteriales
SAMN18647610	GCF_024453835.1	Corynebacterium genitalium	Mycobacteriales
SAMN08388739	GCF_003070865.1	Corynebacterium liangguodongii	Mycobacteriales
SAMN08388720	GCF_003065405.1	Corynebacterium yudongzhengii	Mycobacteriales
SAMN13284570	GCF_009734405.1	Corynebacterium comes	Mycobacteriales
SAMN02800399	GCF_000835165.1	Corynebacterium marinum	Mycobacteriales
SAMN03283197	GCF_000819445.1	Corynebacterium humireducens	Mycobacteriales
SAMN02603057	GCF_000442645.1	Corynebacterium maris	Mycobacteriales
SAMN02991553	GCF_001941485.1	Corynebacterium frankenforstense	Mycobacteriales
SAMD00061103	GCF_000011305.1	Corynebacterium efficiens	Mycobacteriales
SAMN21218849	GCF_020097615.1	Corynebacterium falsenii	Mycobacteriales
SAMN16357568	GCF_019047805.1	Corynebacterium freneyi	Mycobacteriales
SAMN11056389	GCF_009730475.1	Corynebacterium xerosis	Mycobacteriales
SAMD00000552	GCF_002355155.1	Corynebacterium suranareeae	Mycobacteriales
SAMN20145499	GCA_019317305.1	[Brevibacterium] flavum	Mycobacteriales
SAMN02950576	GCF_001277995.1	Corynebacterium deserti	Mycobacteriales
SAMN04990137	GCF_001643015.1	Corynebacterium crudilactis	Mycobacteriales
SAMN02603058	GCF_000344785.1	Corynebacterium callunae	Mycobacteriales
SAMN02996499	GCF_001941505.1	Corynebacterium sphenisci	Mycobacteriales
SAMN02996496	GCF_001941445.1	Corynebacterium aquilae	Mycobacteriales
SAMN03480647	GCF_001021065.1	Corynebacterium uterequi	Mycobacteriales
SAMN03480629	GCF_001021045.1	Corynebacterium testudinoris	Mycobacteriales
SAMN16357165	GCF_016127095.1	Corynebacterium urealyticum	Mycobacteriales
SAMN02911287	GCF_000732945.1	Corynebacterium atypicum	Mycobacteriales
SAMN12496158	GCF_007970465.1	Corynebacterium nuruki	Mycobacteriales
SAMN02603088	GCF_000179395.2	Corynebacterium variabile	Mycobacteriales
SAMN02603028	GCF_000418365.1	Corynebacterium terpenotabidum	Mycobacteriales
SAMN08043153	GCF_003209395.1	Corynebacterium provencense	Mycobacteriales
SAMN15548381	GCF_014217255.1	Corynebacterium incognita	Mycobacteriales
SAMN13284899	GCF_009734425.1	Corynebacterium occultum	Mycobacteriales
SAMN22160858	GCF_020614015.1	Corynebacterium uberis	Mycobacteriales
SAMN16357221	GCF_016128075.1	Corynebacterium bovis	Mycobacteriales
SAMN16357277	GCF_016728725.1	Corynebacterium amycolatum	Mycobacteriales
SAMN02902856	GCF_000755185.1	Corynebacterium sp. ATCC 6931	Mycobacteriales
SAMN10163223	GCF_003955985.1	Corynebacterium jeikeium	Mycobacteriales
SAMN04012704	GCF_001274895.1	Corynebacterium lactis	Mycobacteriales
SAMN18395664	GCF_017638445.1	Corynebacterium hindlerae	Mycobacteriales
SAMN15951547	GCF_014490575.1	Corynebacterium zhongnanshanii	Mycobacteriales
SAMN13546099	GCF_014262665.1	Corynebacterium anserum	Mycobacteriales
SAMN13284568	GCF_009734385.1	Corynebacterium kalinowskii	Mycobacteriales
SAMN12924940	GCF_009026825.1	Corynebacterium urogenitale	Mycobacteriales
SAMEA5851036	GCF_902381765.1	Corynebacterium ammoniagenes	Mycobacteriales
SAMN04445726	GCF_001561975.1	Corynebacterium stationis	Mycobacteriales
SAMN03081454	GCF_000550785.1	Corynebacterium casei	Mycobacteriales
SAMN16357222	GCF_016127395.1	Corynebacterium glucuronolyticum	Mycobacteriales
SAMN22365121	GCF_020736385.1	Corynebacterium diphtheriae	Mycobacteriales
SAMEA5992727	GCF_902702935.1	Corynebacterium rouxii	Mycobacteriales
SAMN02996498	GCF_001941565.1	Corynebacterium phocae	Mycobacteriales
SAMN06041739	GCF_004114895.1	Corynebacterium pelargi	Mycobacteriales
SAMN08449372	GCF_003814005.1	Corynebacterium pseudopelargi	Mycobacteriales
SAMN08448852	GCF_003813985.1	Corynebacterium gerontici	Mycobacteriales
SAMN08448940	GCF_003813965.1	Corynebacterium choanae	Mycobacteriales
SAMEA4030736	GCF_900478035.1	Corynebacterium renale	Mycobacteriales
SAMN03081498	GCF_000626675.1	Corynebacterium glyciniphilum	Mycobacteriales
SAMN03462986	GCF_001021025.1	Corynebacterium epidermidicanis	Mycobacteriales
SAMN03568800	GCF_001020985.1	Corynebacterium mustelae	Mycobacteriales
SAMN31551484	GCF_026041215.1	Hoyosella sp. YIM 151337	Mycobacteriales
SAMN05661029	GCF_024171765.1	Williamsia deligens	Mycobacteriales
SAMEA112157012	GCA_947494875.1	uncultured Williamsia sp.	Mycobacteriales
SAMN19136547	GCF_018474015.1	Williamsia sp. CHRR-6	Mycobacteriales
SAMN27352446	GCF_023051145.1	Williamsia sp. DF01-3	Mycobacteriales
SAMN09064160	GCF_003202005.1	Williamsia faeni	Mycobacteriales
SAMN09723209	GCF_003367415.1	Nocardia farcinica	Mycobacteriales
SAMN07312416	GCF_002554515.1	Nocardia sp. FDAARGOS_372	Mycobacteriales
SAMD00040665	GCF_001613125.1	Nocardia shimofusensis	Mycobacteriales
SAMN08826618	GCF_003123685.1	Nocardia aurea	Mycobacteriales
SAMN18094840	GCF_019038455.1	Nocardia noduli	Mycobacteriales
SAMN30553239	GCF_026341645.1	Nocardia sp. NBC_00802	Mycobacteriales
SAMD00018771	GCF_001613085.1	Nocardia salmonicida	Mycobacteriales
SAMN04489843	GCF_002846365.1	Nocardia fluminea	Mycobacteriales
SAMN09074704	GCF_004339125.1	Nocardia alba	Mycobacteriales
SAMN23242890	GCF_021183605.1	Nocardia asteroides	Mycobacteriales
SAMN06019995	GCF_001886715.1	Nocardia mangyaensis	Mycobacteriales
SAMN21620047	GCF_020216065.1	Nocardia rosealba	Mycobacteriales
SAMN14517881	GCF_012395945.1	Nocardia coubleae	Mycobacteriales
SAMN12250502	GCF_009858255.1	Nocardia caishijiensis	Mycobacteriales
SAMN20345131	GCF_020176955.2	Nocardia sp. alder85J	Mycobacteriales
SAMN11902338	GCF_009604425.1	Nocardia aurantia	Mycobacteriales
SAMN28693309	GCF_026229585.1	Nocardia zapadnayensis	Mycobacteriales
SAMN16551420	GCF_015477805.1	Nocardia flavorosea	Mycobacteriales
SAMD00041818	GCF_000308515.1	Nocardia carnea	Mycobacteriales
SAMN28906645	GCF_023740755.1	Nocardia sp. CDC141	Mycobacteriales
SAMN28906646	GCF_023740735.1	Nocardia sp. CDC159	Mycobacteriales
SAMN09074773	GCF_003350585.1	Nocardia pseudobrasiliensis	Mycobacteriales
SAMN20888902	GCF_019930625.1	Nocardia asteroides	Mycobacteriales
SAMN23242888	GCF_021183645.1	Nocardia gipuzkoensis	Mycobacteriales
SAMN22365125	GCF_020731305.1	Nocardia abscessus	Mycobacteriales
SAMD00041768	GCF_000308435.1	Nocardia araoensis	Mycobacteriales
SAMN20062579	GCF_019222765.1	Nocardia iowensis	Mycobacteriales
SAMEA104566999	GCF_900269665.1	Nocardia suismassiliense	Mycobacteriales
SAMN09280253	GCF_004634405.1	Nocardia sp. CS682	Mycobacteriales
SAMN06173365	GCF_002209125.2	Nocardia brasiliensis	Mycobacteriales
SAMD00040670	GCF_001613425.1	Nocardia vulneris	Mycobacteriales
SAMD00018774	GCF_001612685.1	Nocardia altamirensis	Mycobacteriales
SAMN11511976	GCF_006716565.1	Nocardia bhagyanarayanae	Mycobacteriales
SAMN05878021	GCF_017875645.1	Nocardia goodfellowii	Mycobacteriales
SAMN16707683	GCF_015674855.1	Nocardia bovistercoris	Mycobacteriales
SAMN22568590	GCF_020733635.1	Nocardia sp. DSM 111726	Mycobacteriales
SAMN22365126	GCF_020731565.1	Nocardia africana	Mycobacteriales
SAMN08458271	GCF_002933535.1	Nocardia nova	Mycobacteriales
SAMN14517858	GCF_012396305.1	Nocardia veterana	Mycobacteriales
SAMN14517876	GCF_012396005.1	Nocardia vermiculata	Mycobacteriales
SAMN18094565	GCF_019038435.1	Nocardia sp. ncl2	Mycobacteriales
SAMN23242892	GCF_021183565.1	Nocardia yamanashiensis	Mycobacteriales
SAMD00040655	GCF_001612945.1	Nocardia inohanensis	Mycobacteriales
SAMN19031525	GCF_018362975.1	Nocardia tengchongensis	Mycobacteriales
SAMN12164966	GCF_009712575.1	Nocardia seriolae	Mycobacteriales
SAMN10135935	GCF_003626895.1	Nocardia yunnanensis	Mycobacteriales
SAMD00040643	GCF_001625085.1	Nocardia acidivorans	Mycobacteriales
SAMD00040648	GCF_001613405.1	Nocardia crassostreae	Mycobacteriales
SAMD00018769	GCF_001613145.1	Nocardia jejuensis	Mycobacteriales
SAMD00238642	GCF_014466955.1	Nocardia wallacei	Mycobacteriales
SAMN10284878	GCF_003696265.1	Nocardia stercoris	Mycobacteriales
SAMN10089539	GCF_003598715.1	Nocardia panacis	Mycobacteriales
SAMN09074698	GCF_003350525.1	Nocardia mexicana	Mycobacteriales
SAMN08458266	GCF_002949635.1	Nocardia cyriacigeorgica	Mycobacteriales
SAMN08458267	GCF_002933455.1	Nocardia cyriacigeorgica	Mycobacteriales
SAMN04426989	GCF_001625105.1	Nocardia terpenica	Mycobacteriales
SAMD00040653	GCF_001612885.1	Nocardia harenae	Mycobacteriales
SAMD00041777	GCF_000308695.1	Nocardia takedensis	Mycobacteriales
SAMN02584923	GCF_000526215.1	Nocardia sp. BMG51109	Mycobacteriales
SAMN14517869	GCA_012843125.1	Nocardia globerula	Mycobacteriales
SAMN20011299	GCF_019334125.1	Rhodococcus globerulus	Mycobacteriales
SAMD00491760	GCF_026074015.1	Rhodococcus qingshengii	Mycobacteriales
SAMD00119030	GCF_024349805.1	Rhodococcus erythropolis	Mycobacteriales
SAMN04589880	GCF_001623435.1	Rhodococcus qingshengii	Mycobacteriales
SAMD00016817	GCF_001311605.1	Rhodococcus baikonurensis	Mycobacteriales
SAMD00143522	GCF_003990875.1	Rhodococcus erythropolis	Mycobacteriales
SAMN07414823	GCF_002744595.1	Rhodococcus qingshengii	Mycobacteriales
SAMN10077188	GCF_021497645.1	Rhodococcus erythropolis	Mycobacteriales
SAMN18298927	GCF_018615075.1	Rhodococcus erythropolis	Mycobacteriales
SAMN17526040	GCF_018343855.1	Rhodococcus sp. USK13	Mycobacteriales
SAMN20605963	GCF_020542785.1	Rhodococcus opacus	Mycobacteriales
SAMN13936297	GCF_010436075.1	Rhodococcus sp. IEGM 248	Mycobacteriales
SAMN10354867	GCF_006543605.1	Rhodococcus sp. WS4	Mycobacteriales
SAMD00046778	GCF_001894825.1	Rhodococcus jostii	Mycobacteriales
SAMN15495701	GCF_014256275.1	Rhodococcus sp. 4CII	Mycobacteriales
SAMD00060964	GCF_000010805.1	Rhodococcus opacus	Mycobacteriales
SAMN13717632	GCF_009872365.1	Rhodococcus sp. T7	Mycobacteriales
SAMN17840530	GCF_017068395.1	Rhodococcus pseudokoreensis	Mycobacteriales
SAMD00148910	GCF_003851765.1	Rhodococcus wratislaviensis	Mycobacteriales
SAMN33620769	GCA_029269925.1	Rhodococcus sp. T2V	Mycobacteriales
SAMN29637735	GCF_024362245.1	Rhodococcus gordoniae	Mycobacteriales
SAMN13483355	GCF_013602415.1	Rhodococcus sp. B50	Mycobacteriales
SAMN23420020	GCF_021026105.1	Rhodococcus pyridinivorans	Mycobacteriales
SAMN31691423	GCF_026802115.1	Rhodococcus pyridinivorans	Mycobacteriales
SAMD00412678	GCF_020885655.1	Rhodococcus sp. RDE2	Mycobacteriales
SAMN13685868	GCF_009831075.1	Rhodococcus rhodochrous	Mycobacteriales
SAMN24906810	GCF_022554085.1	Rhodococcus sp. CH91	Mycobacteriales
SAMN31157772	GCF_025837095.1	Rhodococcus sp. Z13	Mycobacteriales
SAMN11633062	GCF_006148895.1	Rhodococcus zopfii	Mycobacteriales
SAMN04357313	GCF_001646785.1	Rhodococcus phenolicus	Mycobacteriales
SAMN14142454	GCF_011058195.1	Rhodococcus sp. 14C212	Mycobacteriales
SAMN13707389	GCF_009939605.1	Rhodococcus sp. YH1	Mycobacteriales
SAMN03486836	GCF_000982715.1	Rhodococcus aetherivorans	Mycobacteriales
SAMN23420027	GCF_021025995.1	Rhodococcus ruber	Mycobacteriales
SAMN21894551	GCF_020515525.1	Rhodococcus yananensis	Mycobacteriales
SAMN14089706	GCF_014217785.1	Rhodococcus triatomae	Mycobacteriales
SAMEA4412684	GCF_900478115.1	Rhodococcus coprophilus	Mycobacteriales
SAMN10872458	GCF_004345605.1	Rhodococcus sp. SMB37	Mycobacteriales
SAMN09739484	GCF_008011915.1	Rhodococcus rhodnii	Mycobacteriales
SAMN12158049	GCF_006704125.1	Rhodococcus spelaei	Mycobacteriales
SAMN06160711	GCF_001984015.1	Rhodococcus sp. MTM3W5.2	Mycobacteriales
SAMN11475379	GCF_005049235.1	Rhodococcus oryzae	Mycobacteriales
SAMN05444583	GCF_900109405.1	Rhodococcus maanshanensis	Mycobacteriales
SAMN05444580	GCF_900101735.1	Rhodococcus tukisamuensis	Mycobacteriales
SAMN10395176	GCF_004011825.1	Rhodococcus xishaensis	Mycobacteriales
SAMN10395175	GCF_004011835.1	Rhodococcus spongiicola	Mycobacteriales
SAMN25558261	GCF_022691685.1	Prescottella equi	Mycobacteriales
SAMN25558260	GCF_022691665.1	Prescottella equi	Mycobacteriales
SAMN13450482	GCF_016025875.1	Prescottella equi	Mycobacteriales
SAMN13391757	GCA_012443715.1	Prescottella equi	Mycobacteriales
SAMN10395197	GCF_004011865.1	Prescottella agglutinans	Mycobacteriales
SAMN02910065	GCF_000738775.1	Prescottella defluvii	Mycobacteriales
SAMN15150009	GCF_013348805.1	Rhodococcus sp. W8901	Mycobacteriales
SAMN11388438	GCF_005484805.1	Rhodococcus sp. SGAir0479	Mycobacteriales
SAMN08777571	GCF_003051005.1	Rhodococcus sp. OK519	Mycobacteriales
SAMN08712319	GCF_005503035.1	Rhodococcus sp. Q	Mycobacteriales
SAMN02469993	GCF_000341795.1	Rhodococcus triatomae	Mycobacteriales
SAMN02441111	GCF_000482405.1	Rhodococcus sp. JG-3	Mycobacteriales
SAMN15000776	GCF_019784225.1	Rhodococcus fascians	Mycobacteriales
SAMN15000810	GCF_019783545.1	Rhodococcus fascians	Mycobacteriales
SAMN15000814	GCF_019783505.1	Rhodococcus fascians	Mycobacteriales
SAMN15000812	GCF_019783485.1	Rhodococcus fascians	Mycobacteriales
SAMN15000829	GCF_019782825.1	Rhodococcus fascians	Mycobacteriales
SAMN15000867	GCF_019782455.1	Rhodococcus fascians	Mycobacteriales
SAMEA7892365	GCF_918697885.1	Rhodococcus fascians	Mycobacteriales
SAMN07414744	GCF_002259505.1	Rhodococcus fascians	Mycobacteriales
SAMN07376390	GCF_002259165.1	Rhodococcus fascians	Mycobacteriales
SAMN07376360	GCF_002259065.1	Rhodococcus sp. 05-2256-B3	Mycobacteriales
SAMN07376365	GCF_002259025.1	Rhodococcus sp. 05-2255-1e	Mycobacteriales
SAMN07376371	GCF_002258475.1	Rhodococcus sp. 06-1460-1B	Mycobacteriales
SAMN11249662	GCF_004563845.1	Rhodococcus sp. 1R11	Mycobacteriales
SAMD00046773	GCF_001894785.1	Rhodococcus fascians	Mycobacteriales
SAMN04521220	GCF_001620305.1	Rhodococcus fascians	Mycobacteriales
SAMN07376378	GCF_002258785.1	Rhodococcus sp. 06-235-1A	Mycobacteriales
SAMN07414572	GCF_002259405.1	Rhodococcus sp. 14-2483-1-2	Mycobacteriales
SAMN07414573	GCF_002259365.1	Rhodococcus sp. 14-2496-1d	Mycobacteriales
SAMN15000868	GCF_019782385.1	Rhodococcus fascians	Mycobacteriales
SAMN14679900	GCF_017168335.1	Rhodococcus sp. KRD162	Mycobacteriales
SAMN02569991	GCF_000760935.2	Rhodococcus fascians	Mycobacteriales
SAMN02569990	GCF_000760905.2	Rhodococcus fascians	Mycobacteriales
SAMN07376382	GCF_002258385.1	Rhodococcus sp. 06-412-2B	Mycobacteriales
SAMN32240013	GCF_027270635.1	Rhodococcus sp. IEGM 1401	Mycobacteriales
SAMN07414568	GCF_002259485.1	Rhodococcus sp. 14-1411-2a	Mycobacteriales
SAMN04151709	GCF_001426085.1	Rhodococcus sp. Leaf278	Mycobacteriales
SAMN04495211	GCF_003688915.1	Rhodococcus sp. SBT000017	Mycobacteriales
SAMN05421642	GCF_900188125.1	Rhodococcus kyotonensis	Mycobacteriales
SAMN07414570	GCF_002259415.1	Rhodococcus sp. 14-2470-1b	Mycobacteriales
SAMN12303457	GCF_008297975.1	Rhodococcus cavernicola	Mycobacteriales
SAMN32218586	GCF_027213855.1	Rhodococcus yunnanensis	Mycobacteriales
SAMN09240609	GCF_003336925.1	Rhodococcus sp. Eu-32	Mycobacteriales
SAMD00046770	GCF_001895005.1	Rhodococcus yunnanensis	Mycobacteriales
SAMN21529074	GCF_020169415.1	Tsukamurella sp. M9C	Mycobacteriales
SAMN04157994	GCF_002869785.1	Tsukamurella tyrosinosolvens	Mycobacteriales
SAMN04479211	GCF_001623895.1	Tsukamurella tyrosinosolvens	Mycobacteriales
SAMN22091655	GCF_020735845.1	Tsukamurella paurometabola	Mycobacteriales
SAMN18928733	GCF_018335505.1	Tsukamurella paurometabola	Mycobacteriales
SAMN14517855	GCF_012843135.1	Tsukamurella columbiensis	Mycobacteriales
SAMD00434442	GCF_022179485.1	Tsukamurella pulmonis	Mycobacteriales
SAMN12158046	GCF_007858435.1	Tsukamurella asaccharolytica	Mycobacteriales
SAMN27015329	GCF_023168325.1	Tsukamurella sp. PLM1	Mycobacteriales
SAMN14517875	GCF_012396015.1	Tsukamurella spumae	Mycobacteriales
SAMEA2272095	GCF_000312385.1	Tsukamurella sp. 1534	Mycobacteriales
SAMD00250050	GCF_019656655.1	Tsukamurella sp. TY48	Mycobacteriales
SAMN08565628	GCF_004011905.1	Gordonia alkanivorans	Mycobacteriales
SAMN14731745	GCF_012974285.1	Gordonia ajococcus	Mycobacteriales
SAMN15594914	GCF_014041935.1	Gordonia jinghuaiqii	Mycobacteriales
SAMN22365123	GCF_020731255.1	Gordonia bronchialis	Mycobacteriales
SAMN11056391	GCF_009730435.1	Gordonia bronchialis	Mycobacteriales
SAMN26237318	GCF_022513585.1	Gordonia sp. ABSL49_1	Mycobacteriales
SAMN13182582	GCF_025273675.1	Gordonia pseudamarae	Mycobacteriales
SAMN13182585	GCF_009914515.1	Gordonia amarae	Mycobacteriales
SAMN16120623	GCF_014673215.1	Gordonia hankookensis	Mycobacteriales
SAMN31669892	GCF_026625785.1	Gordonia sp. SL306	Mycobacteriales
SAMN13630882	GCF_009862785.1	Gordonia sp. SID5947	Mycobacteriales
SAMN10642655	GCF_004193205.1	Gordonia sedimidis	Mycobacteriales
SAMN02256401	GCF_000385355.1	Gordonia polyisoprenivorans	Mycobacteriales
SAMN31808702	GCF_027659065.1	Gordonia jacobaea	Mycobacteriales
SAMN04696146	GCF_001665905.1	Gordonia sp. 852002-50395_SCH5434458	Mycobacteriales
SAMD00170765	GCF_009932435.1	Gordonia crocea	Mycobacteriales
SAMN15150008	GCF_013348785.1	Gordonia sp. X0973	Mycobacteriales
SAMN27187103	GCF_023017165.1	Gordonia alkaliphila	Mycobacteriales
SAMD00041827	GCF_000333015.1	Gordonia hirsuta	Mycobacteriales
SAMN25118198	GCF_021739025.1	Gordonia liuliyuniae	Mycobacteriales
SAMN25118129	GCF_021738805.1	Gordonia liuliyuniae	Mycobacteriales
SAMN05877986	GCF_014197435.1	Gordonia humi	Mycobacteriales
SAMD00170766	GCF_009932475.1	Gordonia spumicola	Mycobacteriales
SAMN04488550	GCF_900105435.1	Gordonia malaquae	Mycobacteriales
SAMN17150779	GCF_016482825.1	Antrihabitans stalagmiti	Mycobacteriales
SAMN17150780	GCF_016481275.1	Antrihabitans sp. YC2-6	Mycobacteriales
SAMN11867825	GCF_012932915.1	Antrihabitans stalactiti	Mycobacteriales
SAMN20079133	GCF_019285775.1	Skermania piniformis	Mycobacteriales
SAMN23497867	GCF_023162105.1	Tomitella fengzijianii	Mycobacteriales
SAMN23497866	GCF_023162085.1	Tomitella gaofuii	Mycobacteriales
SAMN15676248	GCF_014121175.1	Tomitella gaofuii	Mycobacteriales
SAMN17109521	GCF_016599145.1	Tomitella cavernea	Mycobacteriales
SAMN17109562	GCF_016599245.1	Tomitella biformata	Mycobacteriales
SAMN04357316	GCF_001646865.1	Aldersonia kunmingensis	Mycobacteriales
SAMN10354926	GCF_003797825.1	Gordonia sp. OPL2	Mycobacteriales
SAMN33554932	GCF_029167405.1	Tsukamurella sp. 8J	Mycobacteriales
SAMN41107758	GCF_039614715.1	Microbacterium sp. AZCO	Microbacterium
SAMN32653126	GCA_038182865.1	Microbacterium enclense	Microbacterium
SAMN37714333	GCF_036324365.1	Microbacterium limosum	Microbacterium
SAMN38810176	GCF_035231185.1	Microbacterium plantarum	Microbacterium
